hidden_size,epochs,lr,model,sampler,best_f1,best_threshold,roc_auc,f1_t0.2,f1_t0.3,f1_t0.4,f1_t0.5,f1_t0.6,f1_t0.7,f1_t0.8
32,200,0.0005,RNN,SMOTE,0.8356164383561644,0.8,0.7401666666666666,0.45250800426894344,0.616651418115279,0.70843776106934,0.7657587548638133,0.7920646583394563,0.8218623481781376,0.8356164383561644
64,200,0.0005,RNN,SMOTE,0.8353162179085786,0.8,0.7323619047619048,0.4432661717921527,0.615948670944088,0.7082294264339152,0.7623456790123457,0.8025843503230438,0.8180592991913747,0.8353162179085786
32,100,0.0005,LSTM,SMOTE,0.8351507376523413,0.8,0.7238047619047621,0.4613778705636743,0.6356311548791406,0.724025974025974,0.7755102040816326,0.7991422444603288,0.8237677245104659,0.8351507376523413
32,100,0.0005,RNN,SMOTE,0.8337468982630273,0.8,0.7445333333333334,0.40704070407040704,0.6103896103896104,0.7230514096185738,0.7717391304347826,0.7979576951130561,0.8250510551395507,0.8337468982630273
64,100,0.0005,LSTM,SMOTE,0.8330109606705351,0.8,0.7116809523809523,0.4652128764278297,0.6243291592128801,0.7250608272506083,0.7709750566893424,0.7917555081734187,0.8191632928475033,0.8330109606705351
64,100,0.001,RNN,SMOTE,0.8329177057356608,0.8,0.7334619047619049,0.4463157894736842,0.6247723132969034,0.70843776106934,0.7683965917893106,0.806056236481615,0.8193418401611821,0.8329177057356608
64,100,0.0005,LSTM,AGSS,0.8319488817891374,0.8,0.710907142857143,0.6392857142857142,0.7214170692431562,0.7548872180451128,0.7977207977207977,0.8112560054907344,0.8203434610303831,0.8319488817891374
32,100,0.001,RNN,SMOTE,0.8313627878033603,0.8,0.7403095238095238,0.4229934924078091,0.6269477543538039,0.7201986754966887,0.7713841368584758,0.7964989059080962,0.8190988567585743,0.8313627878033603
32,200,0.001,RNN,SMOTE,0.8312342569269522,0.8,0.7335047619047619,0.48459958932238195,0.6438232642019838,0.719082719082719,0.7694656488549618,0.8051391862955032,0.8202020202020202,0.8312342569269522
64,200,0.0005,RNN,AGSS,0.8298429319371727,0.7,0.7338285714285714,0.6098239110287303,0.7059800664451827,0.7542768273716952,0.7909686817188638,0.8173076923076923,0.8298429319371727,0.8280175109443402
64,100,0.001,LSTM,SMOTE,0.8296488946684005,0.8,0.7008095238095238,0.5679245283018868,0.6638005159071367,0.7227564102564102,0.7594553706505295,0.7887931034482759,0.8133971291866029,0.8296488946684005
64,100,0.0005,RNN,SMOTE,0.8294190358467244,0.8,0.7397047619047619,0.379041248606466,0.5970149253731343,0.7151211361737677,0.7688715953307393,0.7982520029133284,0.8227334235453315,0.8294190358467244
64,100,0.0005,RNN,AGSS,0.829042904290429,0.7,0.7372095238095239,0.5578231292517006,0.6643295354951797,0.7374301675977654,0.7855029585798816,0.8123682361208714,0.829042904290429,0.8271527341294783
64,100,0.001,RNN,AGSS,0.8288401253918495,0.8,0.7329285714285714,0.6066790352504638,0.6996644295302014,0.7536907536907537,0.7944606413994169,0.8134893324156917,0.8237623762376237,0.8288401253918495
32,100,0.001,LSTM,SMOTE,0.8286644951140065,0.8,0.7128571428571429,0.5566218809980806,0.6632034632034632,0.721816707218167,0.7644376899696048,0.784992784992785,0.8136986301369863,0.8286644951140065
