f1,precision,recall,roc_auc,threshold,algo,eps,num_leaves,min_child_samples,lr,runtime_s,max_depth,min_child_weight
0.8483,0.7634,0.9543,0.7253,0.95,LightGBM,0.8,127.0,5.0,0.03,74.5,,
0.8448,0.7588,0.9529,0.7214,0.98,LightGBM,0.8,255.0,5.0,0.05,65.9,,
0.8438,0.7545,0.9571,0.7249,0.96,LightGBM,0.5,127.0,5.0,0.03,85.9,,
0.8437,0.7673,0.9371,0.723,0.93,LightGBM,0.8,127.0,5.0,0.05,53.5,,
0.8431,0.7542,0.9557,0.7246,0.96,LightGBM,0.8,255.0,5.0,0.03,93.9,,
0.8421,0.7571,0.9486,0.7224,0.95,LightGBM,0.5,255.0,5.0,0.03,108.2,,
0.842,0.7413,0.9743,0.7207,0.97,LightGBM,0.8,127.0,10.0,0.03,51.4,,
0.842,0.7598,0.9443,0.7176,0.96,LightGBM,0.8,127.0,10.0,0.05,53.0,,
0.842,0.7413,0.9743,0.7207,0.97,LightGBM,0.8,255.0,10.0,0.03,50.4,,
0.842,0.7598,0.9443,0.7176,0.96,LightGBM,0.8,255.0,10.0,0.05,50.9,,
0.842,0.7413,0.9743,0.7416,0.78,XGBoost,0.5,,,0.03,10.1,6.0,3.0
0.8419,0.7437,0.97,0.749,0.72,XGBoost,0.5,,,0.03,9.0,4.0,3.0
0.8418,0.7486,0.9614,0.7216,0.95,LightGBM,0.5,255.0,10.0,0.03,57.8,,
0.8418,0.7486,0.9614,0.7216,0.95,LightGBM,0.5,127.0,10.0,0.03,63.4,,
0.8416,0.7492,0.96,0.7459,0.74,XGBoost,0.8,,,0.03,9.6,6.0,3.0
0.8411,0.7392,0.9757,0.7367,0.83,XGBoost,0.5,,,0.05,9.6,6.0,3.0
0.8409,0.7397,0.9743,0.738,0.82,XGBoost,0.5,,,0.03,10.1,6.0,1.0
0.8408,0.7276,0.9957,0.73,0.94,XGBoost,0.8,,,0.05,10.2,6.0,1.0
0.8407,0.7402,0.9729,0.7479,0.74,XGBoost,0.5,,,0.03,10.9,4.0,1.0
0.8402,0.7394,0.9729,0.7402,0.79,XGBoost,0.5,,,0.05,14.1,4.0,3.0
0.8398,0.7589,0.94,0.7235,0.97,LightGBM,0.5,127.0,5.0,0.05,62.0,,
0.8397,0.7497,0.9543,0.716,0.98,LightGBM,0.5,255.0,10.0,0.05,61.5,,
0.8397,0.7497,0.9543,0.716,0.98,LightGBM,0.5,127.0,10.0,0.05,58.1,,
0.8396,0.741,0.9686,0.7511,0.73,XGBoost,0.8,,,0.03,7.4,4.0,3.0
0.8389,0.7241,0.9971,0.7429,0.9,XGBoost,0.8,,,0.05,7.7,4.0,1.0
0.8387,0.7647,0.9286,0.7243,0.92,LightGBM,0.5,255.0,5.0,0.05,75.0,,
0.8383,0.7277,0.9886,0.7462,0.86,XGBoost,0.8,,,0.05,8.4,4.0,3.0
0.8379,0.7226,0.9971,0.7366,0.93,XGBoost,0.8,,,0.05,9.8,6.0,3.0
0.8376,0.7274,0.9871,0.7402,0.88,XGBoost,0.8,,,0.03,10.4,6.0,1.0
0.8374,0.7469,0.9529,0.7382,0.75,XGBoost,0.5,,,0.05,9.7,4.0,1.0
0.8374,0.7587,0.9343,0.7311,0.74,XGBoost,0.5,,,0.05,9.9,6.0,1.0
0.8362,0.7268,0.9843,0.7499,0.81,XGBoost,0.8,,,0.03,7.5,4.0,1.0
